City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.37,91,100,17.12,TF,1715303885
1,fort bragg,35.139,-79.006,23.08,82,0,4.12,US,1715303885
2,adamstown,-25.066,-130.1015,22.29,76,99,4.79,PN,1715303794
3,mont-tremblant,46.1949,-74.6264,7.98,87,73,0.51,CA,1715303837
4,invercargill,-46.4,168.35,9.45,77,100,5.36,NZ,1715303887
5,jinsha,32.0898,121.0735,20.65,57,0,6.79,CN,1715303887
6,lebu,-37.6167,-73.65,8.81,86,0,2.0,CL,1715303888
7,longyearbyen,78.2186,15.6401,-0.09,69,75,8.75,SJ,1715303888
8,riachao das neves,-11.7461,-44.91,21.33,40,37,0.17,BR,1715303889
9,cidreira,-30.1811,-50.2056,15.59,65,99,2.14,BR,1715303889
10,tiksi,71.6872,128.8694,-2.73,90,100,1.72,RU,1715303890
11,hamilton,39.1834,-84.5333,17.09,93,40,4.12,US,1715303890
12,waitangi,-43.9535,-176.5597,11.01,77,100,2.24,NZ,1715303891
13,holualoa,19.6228,-155.9522,26.91,81,40,7.2,US,1715303891
14,codrington,-38.2667,141.9667,14.42,89,100,4.06,AU,1715303892
15,sultanah,24.4926,39.5857,27.25,21,0,1.03,SA,1715303892
16,lata,40.1629,-8.3327,15.6,67,1,0.73,PT,1715303893
17,ribeira grande,38.5167,-28.7,17.65,91,26,3.58,PT,1715303893
18,tolanaro,-25.0319,46.9987,21.41,88,21,5.29,MG,1715303894
19,wailua homesteads,22.0669,-159.378,26.24,74,20,3.6,US,1715303894
20,iqaluit,63.7506,-68.5145,-2.15,79,75,3.6,CA,1715303896
21,barah,13.7,30.3667,24.63,8,6,4.03,SD,1715303896
22,ushuaia,-54.8,-68.3,1.81,69,0,7.72,AR,1715303897
23,bethel,41.3712,-73.414,16.31,71,98,1.81,US,1715303898
24,bodo,67.28,14.405,4.32,85,75,9.26,NO,1715303898
25,grytviken,-54.2811,-36.5092,-0.39,91,100,1.73,GS,1715303898
26,inhambane,-23.865,35.3833,20.85,86,1,0.8,MZ,1715303899
27,oranjemund,-28.55,16.4333,13.21,92,0,3.78,NA,1715303899
28,hasaki,35.7333,140.8333,20.22,35,0,4.25,JP,1715303900
29,afaahiti,-17.75,-149.2833,28.93,74,1,4.29,PF,1715303900
30,whitehorse,60.7161,-135.0538,11.68,49,75,12.86,CA,1715303901
31,bereznehuvate,47.3078,32.8499,6.77,59,8,3.44,UA,1715303901
32,sitka,57.0531,-135.33,10.94,82,100,10.8,US,1715303902
33,ronneby,56.21,15.276,11.28,100,100,3.09,SE,1715303902
34,puerto baquerizo moreno,-0.9,-89.6,22.99,86,52,5.04,EC,1715303903
